Date,Average of  KWH   
01-Sep-12,0.114566667
02-Sep-12,0.1945875
03-Sep-12,0.19548125
04-Sep-12,0.202145833
05-Sep-12,0.213704167
06-Sep-12,0.351541667
07-Sep-12,0.380589583
08-Sep-12,0.132835417
09-Sep-12,0.17491875
10-Sep-12,0.179127083
11-Sep-12,0.178822917
12-Sep-12,0.179066667
13-Sep-12,0.20769375
14-Sep-12,0.311058333
15-Sep-12,0.12770625
16-Sep-12,0.215802083
17-Sep-12,0.354570833
18-Sep-12,0.34688125
19-Sep-12,0.383054167
20-Sep-12,0.34520625
21-Sep-12,0.285520833
22-Sep-12,0.089241667
23-Sep-12,0.226983333
24-Sep-12,0.296366667
25-Sep-12,0.384052083
26-Sep-12,0.11546875
27-Sep-12,0.25088125
28-Sep-12,0.361283333
29-Sep-12,0.115833333
30-Sep-12,0.162860417
01-Oct-12,0.15521875
02-Oct-12,0.23053125
03-Oct-12,0.33771875
04-Oct-12,0.329464583
05-Oct-12,0.3380125
06-Oct-12,0.106466667
07-Oct-12,0.218895833
08-Oct-12,0.322989583
09-Oct-12,0.30030625
10-Oct-12,0.00054375
11-Oct-12,0.000279167
12-Oct-12,0.2129625
13-Oct-12,0.1091875
14-Oct-12,0.161972917
15-Oct-12,0.212827083
16-Oct-12,0.27206875
17-Oct-12,0.1959625
18-Oct-12,0.250197917
19-Oct-12,0.3135
20-Oct-12,0.113052083
21-Oct-12,0.170979167
22-Oct-12,0.175860417
23-Oct-12,0.187827083
24-Oct-12,0.18800625
25-Oct-12,0.151060417
26-Oct-12,0.151185417
27-Oct-12,0.00075
28-Oct-12,0.177295833
29-Oct-12,0.16896875
30-Oct-12,0.165860417
31-Oct-12,0.172470833
01-Nov-12,0.164329167
02-Nov-12,0.128208333
03-Nov-12,0.000175
04-Nov-12,0.139247917
05-Nov-12,0.1567
06-Nov-12,0.0962625
07-Nov-12,0
08-Nov-12,0.1447125
09-Nov-12,0.119975
10-Nov-12,0.00041875
11-Nov-12,0.134939583
12-Nov-12,0.19450625
13-Nov-12,0.20049375
14-Nov-12,0.161679167
15-Nov-12,0.167425
16-Nov-12,0.160335417
17-Nov-12,0.072783333
18-Nov-12,0.169675
19-Nov-12,0.16814375
20-Nov-12,0.1771375
21-Nov-12,0.17193125
22-Nov-12,0.14641875
23-Nov-12,0.163664583
24-Nov-12,0
25-Nov-12,0.172697917
26-Nov-12,0.18241875
27-Nov-12,0.181466667
28-Nov-12,0.173835417
29-Nov-12,0.176839583
30-Nov-12,0.153779167
01-Dec-12,0.003970833
02-Dec-12,0.18598125
03-Dec-12,0.1762125
04-Dec-12,0.156575
05-Dec-12,0.194489583
06-Dec-12,0.1681375
07-Dec-12,0.211595833
08-Dec-12,0.1012
09-Dec-12,0.160972917
10-Dec-12,0.17160625
11-Dec-12,0.155375
12-Dec-12,0.209220833
13-Dec-12,0.32515
14-Dec-12,0.339308333
15-Dec-12,0.1297375
16-Dec-12,0.221625
17-Dec-12,0.312160417
18-Dec-12,0.2803125
19-Dec-12,0.212122917
20-Dec-12,0.31235625
21-Dec-12,0.297610417
22-Dec-12,0.12961875
23-Dec-12,0.218483333
24-Dec-12,0.306402083
25-Dec-12,0.31281875
26-Dec-12,0.359064583
27-Dec-12,0.363529167
28-Dec-12,0.372045833
29-Dec-12,0.130472917
30-Dec-12,0.215520833
31-Dec-12,0.1036625
01-Jan-13,0.220391667
02-Jan-13,0.349575
03-Jan-13,0.346714583
04-Jan-13,0.359666667
05-Jan-13,0.146714583
06-Jan-13,0.115227083
07-Jan-13,0.217054167
08-Jan-13,0.31539375
09-Jan-13,0.353216667
10-Jan-13,0.330083333
11-Jan-13,0.327419149
12-Jan-13,0.16492449
13-Jan-13,0.2199375
14-Jan-13,0.313395833
15-Jan-13,0.32438125
16-Jan-13,0.3436875
17-Jan-13,0.338164583
18-Jan-13,0.343025
19-Jan-13,0.101802083
20-Jan-13,0.227820833
21-Jan-13,0.346091667
22-Jan-13,0.28761875
23-Jan-13,0.209383333
24-Jan-13,0.158985417
25-Jan-13,0.133652083
26-Jan-13,0.132314583
27-Jan-13,0.157491667
28-Jan-13,0.222652083
29-Jan-13,0.262947917
30-Jan-13,0.151145833
31-Jan-13,0.238314583
01-Feb-13,0.292327083
02-Feb-13,0.204054167
03-Feb-13,0.218370833
04-Feb-13,0.220954167
05-Feb-13,0.208114583
06-Feb-13,0.274445833
07-Feb-13,0.299929167
08-Feb-13,0.32115625
09-Feb-13,0.264839583
10-Feb-13,0.302583333
11-Feb-13,0.302158333
12-Feb-13,0.30579375
13-Feb-13,0.283591667
14-Feb-13,0.300170833
15-Feb-13,0.3218
16-Feb-13,0.092010417
17-Feb-13,0.128575
18-Feb-13,0.152820833
19-Feb-13,0.1248
20-Feb-13,0.018191667
21-Feb-13,0.1010375
22-Feb-13,0.044314583
23-Feb-13,0.00249375
24-Feb-13,0.040004167
25-Feb-13,0.171029167
26-Feb-13,0.18530625
27-Feb-13,0.214685417
28-Feb-13,0.3053625
01-Mar-13,0.2815625
02-Mar-13,0.003722917
03-Mar-13,0
04-Mar-13,0
05-Mar-13,0
